Origin,Destination,Weight (m3)
21,13,284087801.2
22,13,15098815.92
23,13,18128.61679
24,13,8861079.165
25,13,18902414.89
26,13,63718566.73
27,13,8671393.951
28,13,3165681.951
29,13,18709843.83
30,13,35103.99689
31,13,12394106.33
33,13,836052.0741
34,13,17859722.71
36,13,12754665.22
37,13,97128006.54
39,13,15085887.15
40,13,70876.23979
41,13,748682.1472
42,13,4696604.899
44,13,13104.64106
45,13,923468183.9
46,13,4689139.796
47,13,169642882.7
48,13,74030164.19
49,13,53287.26051
51,13,57535736.07
53,13,28134648.92
54,13,110834.3832
55,13,12705326.66
56,13,29096.61367
2,15,3779.039842
4,15,20682.94745
6,15,10333491.04
8,15,145909.7548
9,15,11127.97085
12,15,21864672.16
13,15,81484.25474
15,15,3955655755
16,15,26527.89978
17,15,124007.2989
18,15,41598.51588
19,15,36921.22276
20,15,4644.011509
22,15,9634.50215
23,15,87305.38443
24,15,531.1045147
25,15,127555.8197
26,15,123271.9503
27,15,30342.32323
28,15,524.7985244
29,15,31545.01571
31,15,30119.51157
32,15,155748.8513
34,15,95397.02096
35,15,3691.106311
36,15,2110560.645
37,15,42242.07722
39,15,84518.48706
40,15,109296.1242
41,15,280626.7271
42,15,152496.3616
44,15,3992.04218
45,15,11243.23034
47,15,103257.4378
48,15,642274.2187
49,15,32752.61285
51,15,133948.6925
53,15,234672.1733
54,15,528.3018524
55,15,20755.46634
1,16,84013789.19
4,16,127509832.6
5,16,91040260.23
6,16,846213877.1
8,16,229001654
9,16,12884602.06
10,16,3213431.465
12,16,321671550.3
13,16,372930936.4
16,16,13664145726
17,16,801883842.7
18,16,60330815.8
19,16,46539855.59
20,16,42619313.05
21,16,111322477.7
22,16,36218670.69
23,16,903.9290276
24,16,22867625.7
25,16,76436096.4
26,16,253803438
27,16,392356120
28,16,8130481.18
29,16,42096493.58
30,16,19528796.48
31,16,29937716.93
32,16,103890218.2
33,16,1235998.003
34,16,70091071.3
35,16,92505999.26
36,16,82266336.04
37,16,93419224.36
38,16,150254.8294
39,16,281592187.5
40,16,84975338.35
41,16,606473731.5
42,16,214248908.2
45,16,97022812.18
47,16,180338158.8
48,16,811824872.2
49,16,899685355.4
51,16,50263237.07
53,16,350828053.3
54,16,7394208.543
55,16,274729514.1
56,16,432.7902617
1,17,2576129560
2,17,26330.35989
4,17,1175334.04
5,17,212804214.5
6,17,1222124992
8,17,6561068.384
9,17,6971010.924
10,17,68213.08783
12,17,2029569136
13,17,6416843276
15,17,4510.110746
17,17,116822352652
18,17,8738200799
19,17,746170016.1
20,17,375039641.2
21,17,797231933
22,17,76367064916
23,17,864948.1929
24,17,18498096.79
25,17,32525462.29
26,17,197063444.9
27,17,1040063232
28,17,1224821047
29,17,6199809907
30,17,3009358.022
31,17,21547984.32
33,17,91900.49303
34,17,101620075.3
35,17,5381751.964
36,17,328579281.1
37,17,608735894.7
38,17,3734217.517
39,17,463991231.4
40,17,1281020.032
41,17,841591.1445
42,17,1094444923
45,17,12000714.38
47,17,772596755.7
48,17,2211795355
49,17,4020786.377
51,17,240905087.1
53,17,252836379.9
54,17,29372.86238
55,17,1884678775
1,18,730297454.9
5,18,14295.70922
6,18,51808823.17
8,18,798935746.6
12,18,985393843.9
13,18,15119121417
17,18,3955610049
18,18,31514856762
19,18,38416048.12
20,18,13939965.96
21,18,1719864254
22,18,13076123572
23,18,6196.070545
24,18,791785863.2
25,18,6928.638189
26,18,364695840.7
27,18,6872684.169
29,18,137287631.3
30,18,2366.099236
31,18,8206966.008
34,18,45844304.83
35,18,242792.6818
36,18,103556573.7
37,18,1098558727
38,18,10916.60857
39,18,1513069962
40,18,411.1279617
41,18,255590.0234
42,18,98746449.88
44,18,5976.951293
45,18,2032444447
46,18,11866648.82
47,18,1084443992
48,18,801607.8936
51,18,317924505.9
53,18,6691.736755
54,18,32379207.79
55,18,342025154.1
4,19,2796357926
5,19,25134961.04
6,19,176166.1846
8,19,270246806
12,19,304726.8938
16,19,14981099.1
17,19,2665216378
18,19,314918319.3
19,19,131459722963
20,19,455448422
21,19,38341.5498
22,19,5634888637
24,19,31375.32038
25,19,110118.967
26,19,14603825.22
27,19,4673027666
29,19,676931610.4
30,19,6246.572608
31,19,2152175727
34,19,94843.09907
35,19,927.3254734
36,19,289265.4674
37,19,15832483.24
38,19,144123996.3
39,19,155068.6904
40,19,5910891.608
41,19,110369.3636
42,19,74890.8612
45,19,924.5267043
46,19,77160593.67
47,19,1696.054035
48,19,3871616361
50,19,91285.77033
51,19,77703.62408
53,19,79221.95629
54,19,15816.40357
55,19,197916084.6
1,20,24418212.01
4,20,1972916385
5,20,2324035406
6,20,3243907605
12,20,19802.49603
17,20,23320.85814
18,20,2240827.178
20,20,209273424896
21,20,19569.35406
25,20,857225958.6
27,20,36629.93399
29,20,12098383085
31,20,1888650087
34,20,12968.52205
36,20,171520.0489
37,20,2304923618
40,20,11936882048
41,20,9499.078116
42,20,562344043.7
44,20,201194.0257
48,20,38547542325
51,20,1897.192776
6,21,11887913.42
8,21,4546764.986
9,21,215032319.5
12,21,3911689.352
13,21,334629378.7
17,21,3328957933
18,21,119575676.2
19,21,5062442.484
20,21,1820273.423
21,21,6290584350
22,21,6625984547
23,21,8265923.518
26,21,25005010.87
28,21,13712.06862
29,21,2594958.649
32,21,1284383.984
36,21,7945502.261
37,21,38167518.58
39,21,171543169.4
41,21,24629.70713
42,21,22940746.18
47,21,1830156505
48,21,15678255.84
51,21,157105329.4
54,21,7102806.344
55,21,32310147.03
4,22,5102143.181
5,22,15116761.95
12,22,10712381.49
13,22,22547791.78
22,22,125555983790
28,22,465130081.3
45,22,6460869.011
48,22,9488862.374
5,23,3094.267684
6,23,95969.57657
8,23,26531.41885
9,23,35805.26609
12,23,34491.51562
13,23,34854.74668
17,23,54858.42011
23,23,22217625.87
24,23,88.12333664
25,23,351103.4601
26,23,104264.2551
29,23,7921.241962
33,23,2049209.726
34,23,6472.06665
36,23,130871.6942
39,23,842.5405568
41,23,33359.14925
42,23,88320.04051
45,23,12722.39018
47,23,119.6422401
48,23,9726.335582
49,23,871.8378636
50,23,100231.895
51,23,1113.459649
53,23,2879.536476
54,23,40870.15949
55,23,131.0047817
9,24,16715496.09
10,24,1668649148
21,24,11743.81419
23,24,752549.5603
24,24,4724607145
25,24,34465169.93
34,24,15360982.63
36,24,23117658.8
37,24,3456958.921
42,24,1257895977
44,24,2811203.104
45,24,3734642.107
51,24,333318621
53,24,6910709.219
54,24,2212864.864
